City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,San Patricio,US,2021-07-20 17:02:35,28.017,-97.5169,89.58,54,99,5.53
114,Dabhol,IN,2021-07-20 17:02:35,17.6,73.1667,78.1,89,100,13.47
115,Port Elizabeth,ZA,2021-07-20 17:02:36,-33.918,25.5701,55.09,87,96,27.11
116,Buchanan,LR,2021-07-20 17:02:36,5.8808,-10.0467,76.96,75,95,11.77
117,Carutapera,BR,2021-07-20 17:02:37,-1.195,-46.02,82.58,82,33,7.14
118,Nikolskoye,RU,2021-07-20 17:02:37,59.7035,30.7861,69.69,54,87,4.97
119,Marsh Harbour,BS,2021-07-20 17:02:38,26.5412,-77.0636,84.06,74,90,13.8
120,Suntar,RU,2021-07-20 17:02:38,62.1444,117.6319,56.7,98,100,2.71
121,Airai,TL,2021-07-20 17:02:39,-8.9266,125.4092,55.67,81,21,3.6
122,Karratha,AU,2021-07-20 17:02:39,-20.7377,116.8463,70.57,72,96,7.61
123,Piterka,RU,2021-07-20 17:02:39,50.6803,47.4454,85.01,41,33,6.67
124,Dingle,PH,2021-07-20 17:02:40,10.9995,122.6711,77.81,87,100,8.95
125,Wisconsin Rapids,US,2021-07-20 17:02:40,44.3836,-89.8174,82.33,63,1,1.01
126,Pevek,RU,2021-07-20 17:02:41,69.7008,170.3133,39.6,81,92,3.22
127,Balkanabat,TM,2021-07-20 17:02:41,39.5108,54.3671,92.21,29,0,8.21
128,Plouzane,FR,2021-07-20 17:02:42,48.3833,-4.6167,86.09,54,0,14.97
129,Boa Vista,BR,2021-07-20 17:01:55,2.8197,-60.6733,85.98,58,75,9.22
130,Taunggyi,MM,2021-07-20 17:02:42,20.7833,97.0333,64.44,98,100,4.85
131,Batemans Bay,AU,2021-07-20 17:02:42,-35.7167,150.1833,49.91,74,100,14.0
132,Hilo,US,2021-07-20 17:02:43,19.7297,-155.09,79.29,90,90,4.61
133,Waipawa,NZ,2021-07-20 17:02:43,-41.4122,175.5153,50.94,87,100,7.61
134,Maniitsoq,GL,2021-07-20 17:02:43,65.4167,-52.9,43.7,87,100,13.06
135,Yellowknife,CA,2021-07-20 17:01:31,62.456,-114.3525,71.29,63,94,4.0
136,Yulara,AU,2021-07-20 17:02:44,-25.2406,130.9889,54.52,51,0,8.88
137,Sur,OM,2021-07-20 17:02:44,22.5667,59.5289,94.5,51,50,15.21
138,Mahebourg,MU,2021-07-20 17:02:45,-20.4081,57.7,67.24,76,87,22.79
139,Kutum,SD,2021-07-20 17:02:45,14.2,24.6667,86.52,32,70,6.76
140,Xai-Xai,MZ,2021-07-20 17:02:46,-25.0519,33.6442,65.91,87,12,7.43
141,Mumford,GH,2021-07-20 17:02:46,5.2618,-0.759,77.14,77,21,12.19
142,Butaritari,KI,2021-07-20 17:02:46,3.0707,172.7902,82.08,75,100,6.76
143,Jamestown,US,2021-07-20 17:00:19,42.097,-79.2353,82.09,68,26,3.0
144,Rawson,AR,2021-07-20 16:58:47,-43.3002,-65.1023,57.45,37,51,20.47
145,Tigil,RU,2021-07-20 17:02:47,57.8,158.6667,50.0,90,67,5.01
146,San Luis,AR,2021-07-20 17:02:47,-33.295,-66.3356,67.35,20,1,13.58
147,Alofi,NU,2021-07-20 17:02:48,-19.0595,-169.9187,76.55,72,8,18.16
148,Baykit,RU,2021-07-20 17:02:48,61.67,96.37,54.07,92,91,1.23
149,Penzance,GB,2021-07-20 17:02:49,50.1186,-5.5371,81.61,65,0,4.61
150,Faya,SA,2021-07-20 17:02:49,18.3851,42.4509,64.92,78,100,4.9
151,Leningradskiy,RU,2021-07-20 17:02:50,69.3833,178.4167,34.72,85,100,5.88
152,Piney Green,US,2021-07-20 17:02:51,34.716,-77.3202,80.89,61,97,4.47
153,Cherskiy,RU,2021-07-20 17:02:51,68.75,161.3,55.26,51,100,6.6
154,Russell,US,2021-07-20 17:02:51,32.3502,-85.1999,83.52,73,40,5.75
155,Milledgeville,US,2021-07-20 17:00:40,33.0801,-83.2321,86.76,79,75,3.44
156,Stonewall,CA,2021-07-20 17:02:52,50.1344,-97.3268,78.33,43,100,9.84
157,Olafsvik,IS,2021-07-20 17:02:52,64.8945,-23.7142,53.22,91,98,14.7
158,Nabire,ID,2021-07-20 17:02:53,-3.3667,135.4833,75.13,92,82,3.65
159,Nurota,UZ,2021-07-20 17:02:53,40.5614,65.6886,87.89,19,50,10.0
